filename,width,height,class,xmin,ymin,xmax,ymax
gettyimages-528213420-612x612_jpg.rf.933af32843a761028a100d06c4ff5878.jpg,612,402,ball_tennis,322,239,342,262
Image_49_jpg.rf.d76a448bfc088dd64dfa6e88904a21a3.jpg,1300,956,basketball,460,367,553,476
Image_85_jpg.rf.74ae3aeab27bf11d7cf93d427102869e.jpg,2797,1864,ballon_football,720,1488,948,1710
Image_19_jpg.rf.318c5c0d5fdd954072fd209b0af5f39f.jpg,1300,956,basketball,723,206,770,250
Image_19_jpg.rf.318c5c0d5fdd954072fd209b0af5f39f.jpg,1300,956,basketball,554,724,593,760
Image_21_jpg.rf.7bf4b35ee088ab633e53c56e340358cd.jpg,1500,1022,ballon_football,759,844,841,933
Image_74_jpg.rf.36edb2ca7ca467a8e87f13780f4bff94.jpg,1920,1080,ballon_football,381,33,1420,1027
Image_42_webp.rf.6d7bf3f80de57724ba2d9f7d57435c4d.jpg,2560,1705,basketball,1463,285,1708,533
ball_010_jpg.rf.ee991d25eadeffe15e7881dc4fe97a17.jpg,1140,797,americanFootball,262,517,506,754
13-1-_jpg.rf.294f91ca2c9c36b9192ebcbefcf6553f.jpg,612,344,ball_tennis,308,100,400,199
ball_037_jpg.rf.37d5bf99166153642392b2f357fee8e9.jpg,300,168,ballon_rugby,177,72,214,127
ball_037_jpg.rf.37d5bf99166153642392b2f357fee8e9.jpg,300,168,ballon_rugby,13,84,63,131
Image_21_jpg.rf.29f732fb41b7509d5d8be85d0dead340.jpg,1200,800,ballon_football,716,648,787,711
12-2-_jpg.rf.53a73c9473068e9972c0e3512b3039d5.jpg,828,552,ball_pingpong,366,158,397,183
Image_36_jpg.rf.a344bdc2dfd67674b7af6ba99ebcf55b.jpg,626,417,baseball,66,78,391,369
45_jpg.rf.9078a37dc55ad03569f51e9fc58cdcd3.jpg,1800,1199,ball_pingpong,657,603,718,663
gettyimages-1417928544-612x612_jpg.rf.cbb22881c550e30c3bc5af81526a6341.jpg,612,408,ball_pingpong,216,24,229,38
Image_28_jpg.rf.c6017798213629dbd4dd12647f6570e4.jpg,1501,1065,ballon_volley,794,52,881,136
ball_006_jpg.rf.4c9b3b585a4476568c969603175d183b.jpg,1300,1068,ballon_rugby,1029,526,1161,661
15_jpg.rf.7759461615998c774f107374e09265a0.jpg,612,408,ball_pingpong,350,233,358,241
ball_040_jpg.rf.ec1451dd13f5771d97d37cf7275c59ba.jpg,300,168,ballon_rugby,100,115,160,167
37_jpg.rf.19bd6c0f5eaa4549a64467b5bb98e3cb.jpg,285,177,ballon_rugby,103,110,122,139
ball_011_jpg.rf.65af13fc3e73848ae1fe931677c0e969.jpg,300,168,ballon_rugby,207,130,262,168
59_jpg.rf.8d2145c7ce85c632b3b87f5ba2813977.jpg,225,225,ballon_rugby,28,9,196,213
gettyimages-1963010132-612x612_jpg.rf.962a85f1d088f33129a51700301ab176.jpg,612,395,ball_tennis,95,272,147,322
Image_118_jpg.rf.44a37fe5ce22558e3c2d453eff047a8d.jpg,960,539,ballon_football,502,217,800,522
Image_64_jpg.rf.7eb7e10c3abe30709e51ef9d861e7756.jpg,1200,800,ballon_football,492,671,591,769
71_jpg.rf.327ca724148cc73f0dfcfcf8ebe6482c.jpg,906,420,baseball,531,0,738,199
71_jpg.rf.327ca724148cc73f0dfcfcf8ebe6482c.jpg,906,420,baseball,585,188,769,397
Image_28_jpg.rf.d22c7e8b96117630a21184d2806adfa7.jpg,1067,1690,basketball,495,90,603,190
Image_103_JPG.rf.d4e85a2ff19ca8a4705e1e70d10eaa51.jpg,3320,2146,ballon_football,2450,1427,2720,1710
gettyimages-750415845-612x612_jpg.rf.47b4f6b3b8c6b6f5441eff639854830a.jpg,408,612,ball_tennis,175,214,228,262
69_jpg.rf.6750eff323308c96a76f87eeeacd2cad.jpg,686,386,ball_pingpong,159,169,173,181
Image_62_jpg.rf.856fcfa426a30430442d1b161146a885.jpg,1334,768,basketball,907,256,1194,558
Image_7_jpeg.rf.6c89a925e7866e7eb6ae463e1011f7f8.jpg,5551,3605,basketball,1600,2105,2150,2635
Image_27_jpg.rf.a75da935ac2d4c29067c6945c67b504d.jpg,1920,1280,ballon_volley,502,508,590,595
Image_127_jpeg.rf.65d0b7141878bc8a942a21089fc4ac48.jpg,480,270,ballon_football,139,64,145,70
Image_22_jpg.rf.a4468aa82befc5a08847a43db51d5791.jpg,1300,1065,basketball,387,163,534,309
26-2-_jpg.rf.942f4478475c24a03d538eb8ca6ff974.jpg,1200,800,baseball,484,38,518,69
gettyimages-1291518181-612x612_jpg.rf.6d9089090ce81c963b5c3d8e81c4147b.jpg,612,408,ball_pingpong,180,270,193,285
Image_157_jpg.rf.06e61155c7ed56c7f766a660af46e77f.jpg,2793,1801,ballon_volley,340,633,673,970
Image_116_JPG.rf.8cbd393f3246f2ead491b6f99c084622.jpg,2586,1665,ballon_football,1348,123,1578,345
gettyimages-1397591855-612x612_jpg.rf.b0f878ae2c0818b2ff5fed7977b6c5f3.jpg,612,408,ball_pingpong,315,223,377,282
gettyimages-1397591855-612x612_jpg.rf.b0f878ae2c0818b2ff5fed7977b6c5f3.jpg,612,408,ball_pingpong,449,223,522,289
Image_69_jpg.rf.ee456b2d9b1b59e5ad002349ec12c5b8.jpg,1280,720,baseball,695,517,743,564
Image_133_jpg.rf.56db92c10aa196194b5c5e0cbf7340c7.jpg,675,449,ballon_volley,339,11,378,49
Image_155_jpg.rf.5fb843a8a105c61fd879d539894671cd.jpg,1600,1157,ballon_volley,1140,80,1238,178
gettyimages-79122431-612x612_jpg.rf.742143ee49ce6455453bf985535f8ba5.jpg,459,612,ball_pingpong,43,360,58,377
21_jpg.rf.b672444155688d17115fe8fe72f81819.jpg,862,574,baseball,62,73,107,113
58_jpg.rf.05cafe65809cc723edad795ba1fae1c6.jpg,225,225,ballon_rugby,165,113,192,146
Image_11_jpg.rf.291656b929b9eb77ea9b48158893da8c.jpg,4579,3053,baseball,377,1336,513,1465
Image_22_jpg.rf.8ca6115546c9f671f42b7ca965d3f7fa.jpg,2560,1707,baseball,445,630,1275,1460
Image_22_jpg.rf.8ca6115546c9f671f42b7ca965d3f7fa.jpg,2560,1707,baseball,1098,490,1713,1133
Image_22_jpg.rf.8ca6115546c9f671f42b7ca965d3f7fa.jpg,2560,1707,baseball,1523,403,1980,935
gettyimages-682299726-612x612_jpg.rf.67755cb6fd8ee1300b0faafbf04ac8f4.jpg,612,459,ball_pingpong,292,303,328,340
ball_038_jpg.rf.a4c654e466121ac0966559c3dfb54b49.jpg,1600,990,americanFootball,40,151,316,377
ball_058_jpg.rf.4b3fb84fbfeb1a9311e93c7d7b81da12.jpg,1280,960,ballon_rugby,529,105,753,438
Image_68_jpg.rf.211c18db291a122609ec37cea6d8ade5.jpg,1600,1157,ballon_volley,887,377,980,475
Image_71_webp.rf.b635de3aee717f243d7e10a486098827.jpg,2560,1280,ballon_volley,895,125,965,192
Image_71_webp.rf.b635de3aee717f243d7e10a486098827.jpg,2560,1280,ballon_volley,2067,42,2205,173
gettyimages-871943418-612x612_jpg.rf.f53a7ec929ab714541a250b728dfa571.jpg,612,408,ball_tennis,266,234,287,254
gettyimages-907253734-612x612_jpg.rf.75919c1c250be3c34b3bc44386c5c1ac.jpg,612,408,ball_pingpong,376,120,387,131
ball_019_jpg.rf.f349afee5fcae3284df56a14c6a8d68a.jpg,300,168,ballon_rugby,116,88,146,126
ball_012_jpg.rf.9171e209673fd30ddf44a2a10511e2ba.jpg,1600,900,ballon_rugby,1146,591,1320,774
ball_048_jpg.rf.c7d3ed19bead7761925ea3e79fc78a1b.jpg,1280,720,ballon_rugby,731,361,897,533
Image_32_jpg.rf.dfe028a039b16190c16a9415d2dcd0e4.jpg,1300,956,basketball,710,286,766,340
55_jpg.rf.2cb39e0d5783f7d4a8b9a0627ed4f122.jpg,266,189,ballon_rugby,0,0,265,180
ball_072_jpg.rf.cd4c568ebcf556575da3968acd5998eb.jpg,474,314,ballon_handball,180,103,203,130
ball_008_jpg.rf.04478ade0e95f93cc8e5be6106f114c1.jpg,828,1236,americanFootball,315,163,472,315
Image_50_jpg.rf.93ee1d8f791367f8cedf1d41637c8296.jpg,1300,954,basketball,579,247,753,427
Image_37_jpg.rf.42bf553968ab6cc5cd0346ad3e827d4f.jpg,1067,1690,basketball,653,53,845,230
03-2-_jpg.rf.c3d813465bf7751750bef3e3f3f34ff7.jpg,5142,3428,baseball,1733,690,1874,835
Image_43_jpg.rf.8f1cf900109cb014e56c61d831c118c5.jpg,1300,950,ballon_football,729,670,828,766
27_jpg.rf.e75cd3aeb59cc72e6c78de3a6e634555.jpg,1920,1042,ball_pingpong,880,611,947,676
Image_46_JPG.rf.b3f9a7c001cda2d2301581b489b45743.jpg,1000,889,basketball,479,166,513,200
Image_2_jpg.rf.a94ed4e06aa1023cefb6428b5505e9b8.jpg,661,346,ballon_volley,99,173,228,303
60_jpg.rf.76c41e24264833099a1e375106e8845e.jpg,253,199,ballon_rugby,133,119,157,152
53_jpg.rf.cae4082d2823b05d38750d726fc24d3f.jpg,1024,640,ball_pingpong,589,148,692,263
ball_025_jpg.rf.a0406de8b23f70983cd6116022d62c7a.jpg,474,770,ballon_handball,187,69,240,131
Image_156_jpg.rf.2fe58ab3dfbcbf8e5e397931e50f0991.jpg,1600,1290,ballon_volley,1362,721,1385,742
Image_35_jpg.rf.6532e12eb084da1435400310e8487726.jpg,390,280,ballon_football,191,166,208,182
Image_163_jpg.rf.f1f0e63f4a5b6ef2bc4a2b0edd613acd.jpg,675,449,ballon_volley,277,123,324,173
53_jpg.rf.bb81367433418144c8a2cb7d91a7befe.jpg,271,186,ballon_handball,80,8,100,29
ball_013_jpg.rf.1417883a1c8fe60d8577502525978201.jpg,275,183,americanFootball,131,7,176,43
Image_46_jpg.rf.a7bc37007ae6c236a3c0fedd912b1b03.jpg,1800,1199,basketball,65,145,388,423
ball_004_jpg.rf.c0696634e1de1827d6f02d549a53c7bd.jpg,300,168,ballon_rugby,86,59,105,78
gettyimages-2260057729-612x612_jpg.rf.fef8b6a92918483d6fccecffefadfa32.jpg,408,612,ball_tennis,232,166,239,173
gettyimages-2260057729-612x612_jpg.rf.fef8b6a92918483d6fccecffefadfa32.jpg,408,612,ball_tennis,112,490,117,495
gettyimages-2260057729-612x612_jpg.rf.fef8b6a92918483d6fccecffefadfa32.jpg,408,612,ball_tennis,25,490,31,496
gettyimages-2260057729-612x612_jpg.rf.fef8b6a92918483d6fccecffefadfa32.jpg,408,612,ball_tennis,57,490,63,495
Image_8_jpg.rf.22dbe858f26a9484928fed38af8ac670.jpg,626,417,ballon_football,271,75,428,230
Image_28_jpg.rf.5c0aea5c8ad7185aac88e3d2df0030fd.jpg,1400,933,baseball,135,139,174,180
35_jpg.rf.2967ddb5740d9cbd33be15b685f09f24.jpg,275,183,ballon_rugby,134,61,156,86
gettyimages-2214039196-612x612_jpg.rf.dabb30d7a65afa78d42fecccedb4c669.jpg,612,408,ball_tennis,421,234,439,254
28_jpg.rf.de6aa5398c10994c7589bc0bafed46d2.jpg,269,188,ballon_rugby,96,82,113,101
ball_025_jpg.rf.e55db172af685d5c562536e1874f0b64.jpg,264,191,americanFootball,90,81,124,116
ball_016_jpg.rf.52b5a80a91e44a5f2272c72d18271467.jpg,300,168,ballon_rugby,105,91,148,144
ball_016_jpg.rf.52b5a80a91e44a5f2272c72d18271467.jpg,300,168,ballon_rugby,175,100,218,148
Image_55_jpg.rf.14d388ed585a4a901f6aeb23de2b7959.jpg,1200,800,ballon_football,283,671,403,781
38_jpg.rf.60f8117e345af1953f235ae426ac7634.jpg,248,203,ballon_handball,96,18,119,39
